player,sleeper_id,nba_team,fantasy_team,date,week,matchup,minutes,fpts,fpts_per_min,pts,reb,ast,stl,blk,tov,fgm,fga,fg_pct,ftm,fta,fg3m
Alperen Sengun,2308,HOU,DonFryeee,"Nov 05, 2025",3,HOU @ MEM,35,48.0,1.37,20,16,7,1,1,6,6,14,0.429,8,10,0
Alperen Sengun,2308,HOU,DonFryeee,"Nov 07, 2025",3,HOU @ SAS,36,51.8,1.44,25,9,8,1,1,3,10,22,0.455,4,5,1
Alperen Sengun,2308,HOU,DonFryeee,"Nov 09, 2025",3,HOU @ MIL,40,47.8,1.19,23,11,7,0,0,5,10,15,0.667,2,3,1
Alperen Sengun,2308,HOU,DonFryeee,"Nov 12, 2025",4,HOU vs. WAS,28,41.1,1.47,16,13,6,0,0,2,6,13,0.462,2,4,2
Alperen Sengun,2308,HOU,DonFryeee,"Nov 14, 2025",4,HOU vs. POR,36,81.2,2.26,25,10,9,3,3,0,9,13,0.692,3,4,4
Alperen Sengun,2308,HOU,DonFryeee,"Nov 16, 2025",4,HOU vs. ORL,45,49.0,1.09,30,12,8,0,2,5,11,31,0.355,8,10,0
Alperen Sengun,2308,HOU,DonFryeee,"Nov 19, 2025",5,HOU @ CLE,38,55.5,1.46,28,11,7,1,1,5,10,17,0.588,8,10,0
Alperen Sengun,2308,HOU,DonFryeee,"Nov 21, 2025",5,HOU vs. DEN,36,25.5,0.71,14,5,6,1,0,4,6,14,0.429,2,3,0
Alperen Sengun,2308,HOU,DonFryeee,"Nov 24, 2025",6,HOU @ PHX,35,33.1,0.95,18,5,5,0,1,4,8,14,0.571,0,0,2
Alperen Sengun,2308,HOU,DonFryeee,"Nov 26, 2025",6,HOU @ GSW,35,31.0,0.89,16,6,6,1,0,1,7,18,0.389,2,5,0
Alperen Sengun,2308,HOU,DonFryeee,"Nov 30, 2025",6,HOU @ UTA,28,45.0,1.61,27,4,5,1,0,2,10,15,0.667,7,9,0
Alperen Sengun,2308,HOU,DonFryeee,"Oct 21, 2025",1,HOU @ OKC,49,71.0,1.45,39,11,7,2,1,4,12,24,0.5,10,11,5
Alperen Sengun,2308,HOU,DonFryeee,"Oct 24, 2025",1,HOU vs. DET,38,33.5,0.88,17,7,7,3,0,3,5,18,0.278,7,10,0
Alperen Sengun,2308,HOU,DonFryeee,"Oct 27, 2025",2,HOU vs. BKN,30,42.6,1.42,21,6,6,1,0,3,7,11,0.636,5,5,2
Alperen Sengun,2308,HOU,DonFryeee,"Oct 29, 2025",2,HOU @ TOR,35,57.3,1.64,18,8,9,2,2,2,6,8,0.75,5,8,1
Amen Thompson,2574,HOU,isaacentebib,"Dec 01, 2025",7,HOU @ UTA,37,41.0,1.11,23,8,3,0,2,2,8,16,0.5,7,9,0
Amen Thompson,2574,HOU,isaacentebib,"Dec 03, 2025",7,HOU vs. SAC,37,51.0,1.38,20,12,7,2,1,5,8,16,0.5,4,4,0
